Arquivo,Real_mm2,IA_mm2,Erro_Abs_mm2,Erro_Perc,N_Colonias,Px_Escala,Fator_Conv
d2_t2_40uL_r5,544.32,539.7916219422189,4.528378057781197,0.831933064701131,1,1276334.0,0.001254
d2_t2_60uL_r1,591.32,619.869207344463,28.549207344462957,4.828046970246729,1,1291204.0,0.001239
d2_t2_60uL_r2,695.47,688.0639956871092,7.406004312890786,1.0648919885675565,1,1261335.0,0.001268
d2_t2_60uL_r3,516.93,537.2513773883038,20.32137738830386,3.931166190452065,1,1273969.0,0.001256
d2_t2_60uL_r4,855.99,844.5966670953956,11.39333290460445,1.3310123838601444,1,1278974.5,0.001251
d2_t2_60uL_r5,668.68,685.5544439097287,16.87444390972871,2.5235454791123875,1,1263392.0,0.001266
d2_t2_80uL_r1,688.33,650.0082060299383,38.321793970061776,5.567357803678727,1,1288686.5,0.001242
d2_t2_80uL_r2,650.97,713.1385338581144,62.168533858114415,9.5501380798062,1,1294254.0,0.001236
d2_t2_80uL_r3,548.05,556.9732094695363,8.923209469536346,1.6281743398478872,1,1268974.5,0.001261
d2_t2_80uL_r4,475.16,491.4159185328905,16.255918532890462,3.4211462523971843,1,1277178.0,0.001253
d2_t2_80uL_r5,712.92,711.252566447772,1.6674335522279762,0.23388789095943113,1,1286311.0,0.001244
d2_t3_100uL_r1,49.39,59.7278833281549,10.337883328154902,20.93112639836992,1,1303485.0,0.001227
d2_t3_100uL_r2,77.49,87.5799984398159,10.0899984398159,13.021032958853917,1,1281900.0,0.001248
d2_t3_100uL_r3,65.08,71.75154076089157,6.671540760891574,10.251291888278386,1,1296518.5,0.001234
d2_t3_100uL_r4,64.19,64.03617772954354,0.1538222704564589,0.2396358785737014,1,1302901.0,0.001228
d2_t3_100uL_r5,52.85,48.47685949996685,4.373140500033152,8.274627246987988,1,1289654.5,0.001241
d2_t3_20uL_r1,75.92,75.07402140346701,0.8459785965329871,1.1143026824723223,1,1273111.5,0.001257
d2_t3_20uL_r2,62.03,68.81774275894581,6.787742758945811,10.942677347970031,1,1278042.5,0.001252
d2_t3_20uL_r3,58.3,61.19662666264817,2.896626662648174,4.9684848415920655,1,1270789.0,0.001259
d2_t3_20uL_r4,46.53,40.3942797011128,6.1357202988872,13.186589939581344,1,1291925.5,0.001238
d2_t3_20uL_r5,64.35,68.49855051157064,4.148550511570647,6.4468539418347275,1,1305978.0,0.001225
d2_t3_40uL_r1,71.49,80.6860391492227,9.196039149222699,12.863392291541054,1,1306922.5,0.001224
d2_t3_40uL_r2,63.79,67.37963135298668,3.589631352986679,5.627263447227902,1,1286786.5,0.001243
d2_t3_40uL_r3,51.65,60.11017014535688,8.460170145356884,16.37980667058448,1,1302621.5,0.001228
d2_t3_40uL_r4,64.9,74.53384129612525,9.63384129612524,14.844131427003452,1,1280277.5,0.00125
d2_t3_40uL_r5,58.45,61.28644779835071,2.8364477983507044,4.852776387255268,1,1285400.0,0.001245
d2_t3_60uL_r1,52.41,60.83249611819072,8.422496118190722,16.07039900437077,1,1295465.5,0.001235
d2_t3_60uL_r2,56.62,63.02433569908838,6.404335699088385,11.311083891007392,1,1287820.0,0.001242
d2_t3_60uL_r3,63.92,66.37478585665968,2.454785856659683,3.840403405287364,1,1303157.5,0.001228
d2_t3_60uL_r4,50.24,60.18815428308008,9.948154283080079,19.80126250613073,1,1282033.0,0.001248
d2_t3_60uL_r5,88.94,96.2066169851636,7.266616985163608,8.170246216734437,1,1285857.5,0.001244
d2_t3_80uL_r1,63.8,72.40317251754311,8.603172517543115,13.48459642248137,1,1312837.5,0.001219
d2_t3_80uL_r2,56.89,69.52216224068329,12.632162240683286,22.20453900629862,1,1294194.5,0.001236
d2_t3_80uL_r3,55.94,64.01527810933398,8.07527810933398,14.435606201884124,1,1277645.0,0.001252
d2_t3_80uL_r4,67.15,74.98351493076271,7.833514930762703,11.665696099423235,1,1305727.0,0.001225
d2_t3_80uL_r5,66.61,73.62546001204508,7.015460012045082,10.53214233905582,1,1291814.0,0.001239
d2_t4_100uL_r1,126.15,134.09371470749338,7.9437147074933705,6.297039007129109,1,1284355.5,0.001246
d2_t4_100uL_r2,205.96,229.09643705463185,23.13643705463184,11.233461378244241,1,1263000.0,0.001267
d2_t4_100uL_r3,243.09,239.16865561568216,3.921344384317848,1.613124515330885,1,1285436.0,0.001245
d2_t4_100uL_r4,264.67,264.68949887535587,0.019498875355850487,0.007367240471474095,1,1263288.5,0.001267
d2_t4_100uL_r5,224.28,227.41086699377473,3.130866993774731,1.3959635249575224,1,1270222.5,0.00126
d2_t4_100uL_r6,253.18,259.51617659052556,6.336176590525554,2.5026370923949575,1,1275176.0,0.001255
d2_t4_20uL_r1,286.82,325.4324484775194,38.61244847751942,13.462258028561266,1,1275123.0,0.001255
d2_t4_20uL_r2,330.32,358.4169852052841,28.096985205284113,8.50598970855053,1,1262275.0,0.001268
d2_t4_20uL_r3,132.06,133.28900089838984,1.2290008983898417,0.9306382692638511,1,1291755.5,0.001239
d2_t4_20uL_r4,281.14,303.1402867151212,22.000286715121206,7.825384760304904,1,1296060.0,0.001235
d2_t4_20uL_r5,203.64,230.90456557074165,27.264565570741667,13.388610081880605,1,1269217.0,0.001261
d2_t4_40uL_r1,206.67,221.87712556314,15.20712556314001,7.358167882682542,1,1280543.0,0.001249
d2_t4_40uL_r2,241.63,246.48464187930514,4.854641879305149,2.009122161695629,1,1274130.5,0.001256
d2_t4_40uL_r3,325.14,357.5186145889898,32.37861458898982,9.95836088730695,1,1262383.5,0.001267
d2_t4_40uL_r4,131.18,145.5613768176654,14.381376817665398,10.963086459571121,1,1277119.0,0.001253
d2_t4_40uL_r5,278.27,334.57825332092,56.30825332092002,20.23511457250872,1,1291622.5,0.001239
d2_t4_60uL_r1,414.7,443.94136544529835,29.241365445298356,7.051209415311878,1,1261918.0,0.001268
d2_t4_60uL_r2,215.11,242.19304061927426,27.083040619274243,12.590321518885334,1,1274395.0,0.001255
d2_t4_60uL_r3,266.93,279.14420742384715,12.214207423847142,4.5758091723849486,1,1270635.0,0.001259
d2_t4_60uL_r4,328.96,328.6415388076004,0.3184611923995817,0.09680848504364717,1,1293677.0,0.001237
d2_t4_60uL_r5,297.45,311.69747724187005,14.247477241870058,4.7898730011329835,1,1277510.5,0.001252
d2_t4_80uL_r1,183.42,205.19279568255683,21.772795682556847,11.87045888265012,1,1274458.0,0.001255
d2_t4_80uL_r2,209.11,238.70489153766508,29.594891537665063,14.152786350564325,1,1267168.0,0.001263
d2_t4_80uL_r3,55.91,55.898373961562115,0.011626038437881903,0.020794202178289936,1,1283057.0,0.001247
d2_t4_80uL_r4,282.34,294.75640479911584,12.416404799115867,4.3976782599404505,1,1283861.5,0.001246
d2_t4_80uL_r5,156.52,182.7699940425615,26.249994042561497,16.771015871812864,1,1279912.5,0.00125
d2_t5_100uL_r1,497.3,540.5368225906124,43.23682259061235,8.694313812711108,1,1302665.0,0.001228
d2_t5_100uL_r2,527.37,557.5279571325251,30.157957132525098,5.718557584338338,1,1298327.0,0.001232
d2_t5_100uL_r3,743.66,703.4849516129412,40.17504838705872,5.402340906739467,1,1273791.0,0.001256
d2_t5_100uL_r4,681.08,681.77065201418,0.6906520141799319,0.10140541701120748,1,1272503.0,0.001257
d2_t5_100uL_r5,674.32,727.0622046208883,52.74220462088829,7.821539420584927,1,1300659.0,0.00123
d2_t5_20uL_r1,497.64,539.6732148138566,42.0332148138566,8.446510492294953,1,1283136.5,0.001247
d2_t5_20uL_r2,487.46,443.4508604542721,44.00913954572786,9.028256584279298,1,1273862.0,0.001256
d2_t5_20uL_r3,557.74,586.3351436808769,28.595143680876845,5.126966629769578,1,1280233.0,0.00125
d2_t5_20uL_r4,581.21,609.878401209578,28.66840120957795,4.932537501002727,1,1287060.5,0.001243
d2_t5_20uL_r5,455.18,458.546607286594,3.3666072865939896,0.7396210920062369,1,1268439.0,0.001261
d2_t5_40uL_r1,412.06,465.71510176906605,53.65510176906605,13.02118666433676,1,1269172.5,0.001261
d2_t5_40uL_r2,525.12,556.2003726025383,31.08037260253832,5.918718122055591,1,1306486.0,0.001225
d2_t5_40uL_r3,480.78,480.01244725109655,0.7675527489034266,0.15964739567024974,1,1291851.5,0.001239
d2_t5_40uL_r4,432.37,466.0568775373835,33.68687753738351,7.79121528722703,1,1295256.5,0.001235
d2_t5_40uL_r5,411.13,459.8652554215105,48.73525542151049,11.85397694683202,1,1305655.5,0.001225
d2_t5_60uL_r1,466.05,533.6963435964658,67.64634359646578,14.51482536132728,1,1268651.0,0.001261
d2_t5_60uL_r2,504.47,502.7366952748126,1.7333047251874518,0.3435892570792023,1,1290425.0,0.00124
d2_t5_60uL_r3,393.24,415.11741111712166,21.877411117121653,5.563373796440254,1,1306030.5,0.001225
d2_t5_60uL_r4,410.2,517.0676467868196,106.86764678681965,26.052571132818052,1,1281339.5,0.001249
d2_t5_60uL_r5,559.85,647.6383184437483,87.78831844374827,15.680685620031841,1,1292850.0,0.001238
d2_t5_80uL_r1,489.1,552.7513731514968,63.65137315149673,13.013979380800803,1,1277080.5,0.001253
